Unnamed: 0,sup_type,name,address_street,city,postcode,lat,long,website,email,telephone,supplier_contact,supplier_contact_email,supplier_contact_telephone,percent_recyclablenum,percent_efwnum,provides_a_rebateyn,supplier_auditislist_yes_no_na,supplier_audit_date_completed,notes,hierarchy,origin
24,Charity,New Leaf Charity Shop (Bristol),144 Sample Street,Bristol,X8 9WN,51.317726,-2.637833,https://www.example-charity.org,contact.24@example-charity.org,05291 269430,,,,,,0,,,,Reuse,synthetic_sample_data
25,Charity,Lighthouse Foundation (Coventry),11 Sample Street,Coventry,E1 5LZ,52.5279786,-1.5060229,https://www.example-charity.org,contact.25@example-charity.org,03426 550664,,,,21.0,,0,,,,Reuse,synthetic_sample_data
26,Charity,Haven Foundation (Reading),189 Sample Street,Reading,F3 7AF,51.3351381,-0.8940651,https://www.example-charity.org,contact.26@example-charity.org,03532 348237,,,,78.2,,1,,,,Reuse,synthetic_sample_data
27,Charity,Compass Community Trust (Reading),90 Sample Street,Reading,B8 4GO,51.5635192,-0.8848752,https://www.example-charity.org,contact.27@example-charity.org,02771 501124,,,,,,0,,,,Reuse,synthetic_sample_data
28,Charity,Lighthouse Reuse Store (Leeds),138 Sample Street,Leeds,I6 9MV,53.6578993,-1.6411611,https://www.example-charity.org,contact.28@example-charity.org,02137 910891,,,,,,0,,,,Reuse,synthetic_sample_data
29,Charity,Steppingstone Reuse Store (Manchester),81 Sample Street,Manchester,T7 6XZ,53.5939115,-2.3142354,https://www.example-charity.org,contact.29@example-charity.org,01626 213668,,,,,,0,,,,Reuse,synthetic_sample_data
30,Charity,Hope Charity Shop (Liverpool),18 Sample Street,Liverpool,Q9 4LN,53.5282514,-3.0845764,https://www.example-charity.org,contact.30@example-charity.org,08144 101773,,,,92.1,,1,,,,Reuse,synthetic_sample_data
31,Charity,Compass Foundation (Reading),142 Sample Street,Reading,N6 7WJ,51.5587046,-0.9121737,https://www.example-charity.org,contact.31@example-charity.org,06067 799287,,,,,,1,,,,Reuse,synthetic_sample_data
32,Charity,New Leaf Foundation (Reading),111 Sample Street,Reading,R1 5JG,51.5864091,-0.9249046,https://www.example-charity.org,contact.32@example-charity.org,05930 525800,,,,60.7,,1,,,,Reuse,synthetic_sample_data
33,Charity,Together Support Network (Newcastle),159 Sample Street,Newcastle,C5 9VU,54.9608358,-1.5651118,https://www.example-charity.org,contact.33@example-charity.org,03780 790855,,,,,,0,,,,Reuse,synthetic_sample_data
34,Charity,New Leaf Furniture Project (Reading),148 Sample Street,Reading,P2 8NU,51.3974258,-0.8861311,https://www.example-charity.org,contact.34@example-charity.org,01757 356736,,,,,,1,,,,Reuse,synthetic_sample_data
35,Charity,Hope Outreach (Newcastle),133 Sample Street,Newcastle,N4 3ZW,54.9481959,-1.7235286,https://www.example-charity.org,contact.35@example-charity.org,02746 916232,,,,,,0,,,,Reuse,synthetic_sample_data
36,Charity,Together Foundation (Manchester),41 Sample Street,Manchester,O9 7RO,53.4677385,-2.152175,https://www.example-charity.org,contact.36@example-charity.org,06198 891937,,,,47.5,,1,,,,Reuse,synthetic_sample_data
37,Charity,Together Support Network (Leeds),86 Sample Street,Leeds,O2 5HI,53.9027589,-1.6159066,https://www.example-charity.org,contact.37@example-charity.org,04919 387936,,,,,,0,,,,Reuse,synthetic_sample_data
38,Charity,New Leaf Charity Shop (Birmingham),107 Sample Street,Birmingham,N7 6RO,52.3814492,-1.9254894,https://www.example-charity.org,contact.38@example-charity.org,04505 167348,,,,,,1,,,,Reuse,synthetic_sample_data
39,Charity,Hope Outreach (Liverpool),108 Sample Street,Liverpool,A6 5YM,53.5298515,-2.9663762,https://www.example-charity.org,contact.39@example-charity.org,07232 600149,,,,,,0,,,,Reuse,synthetic_sample_data
40,Charity,Hope Support Network (Newcastle),160 Sample Street,Newcastle,V7 3OE,54.8941265,-1.6370492,https://www.example-charity.org,contact.40@example-charity.org,06507 801364,,,,,,1,,,,Reuse,synthetic_sample_data
41,Charity,Haven Community Trust (Southampton),117 Sample Street,Southampton,B5 7KG,50.9290176,-1.5462694,https://www.example-charity.org,contact.41@example-charity.org,08564 290556,,,,,,1,,,,Reuse,synthetic_sample_data
42,Charity,Compass Outreach (Bristol),167 Sample Street,Bristol,A9 1LH,51.5301029,-2.4883227,https://www.example-charity.org,contact.42@example-charity.org,02341 593152,,,,,,0,,,,Reuse,synthetic_sample_data
43,Charity,Hope Foundation (London),120 Sample Street,London,E8 2SG,51.6422835,-0.2179918,https://www.example-charity.org,contact.43@example-charity.org,03496 350132,,,,76.7,,0,,,,Reuse,synthetic_sample_data
44,Charity,Second Chance Outreach (Southampton),97 Sample Street,Southampton,D1 5SV,50.9418742,-1.3300223,https://www.example-charity.org,contact.44@example-charity.org,03683 426147,,,,,,0,,,,Reuse,synthetic_sample_data
45,Charity,Bridge Furniture Project (Manchester),110 Sample Street,Manchester,V2 1LR,53.5084294,-2.1434285,https://www.example-charity.org,contact.45@example-charity.org,05941 991597,,,,6.9,,1,,,,Reuse,synthetic_sample_data
46,Charity,Second Chance Support Network (London),134 Sample Street,London,O3 7FX,51.6122727,-0.0311007,https://www.example-charity.org,contact.46@example-charity.org,06934 766459,,,,27.0,,1,,,,Reuse,synthetic_sample_data
47,Charity,Compass Reuse Store (Newcastle),119 Sample Street,Newcastle,C5 8HY,54.9589723,-1.5484921,https://www.example-charity.org,contact.47@example-charity.org,05022 971084,,,,,,1,,,,Reuse,synthetic_sample_data
48,Charity,New Leaf Support Network (Sheffield),180 Sample Street,Sheffield,Z5 6IT,53.23971,-1.3648141,https://www.example-charity.org,contact.48@example-charity.org,04475 472060,,,,55.6,,0,,,,Reuse,synthetic_sample_data
49,Charity,Together Outreach (Manchester),24 Sample Street,Manchester,P8 8ZA,53.4032068,-2.2706716,https://www.example-charity.org,contact.49@example-charity.org,04937 824156,,,,,,1,,,,Reuse,synthetic_sample_data
50,Charity,Lighthouse Support Network (Coventry),117 Sample Street,Coventry,N9 6LW,52.3297915,-1.470512,https://www.example-charity.org,contact.50@example-charity.org,09698 460455,,,,,,1,,,,Reuse,synthetic_sample_data
51,Charity,Second Chance Charity Shop (Leeds),124 Sample Street,Leeds,W3 4GX,53.6869968,-1.6413247,https://www.example-charity.org,contact.51@example-charity.org,09779 899213,,,,,,1,,,,Reuse,synthetic_sample_data
52,Charity,Lighthouse Community Trust (Manchester),14 Sample Street,Manchester,W9 3IB,53.5805885,-2.3037261,https://www.example-charity.org,contact.52@example-charity.org,05952 114835,,,,,,0,,,,Reuse,synthetic_sample_data
53,Charity,Hope Foundation (Reading),65 Sample Street,Reading,P8 6FB,51.5648384,-0.9808364,https://www.example-charity.org,contact.53@example-charity.org,05658 592198,,,,47.8,,0,,,,Reuse,synthetic_sample_data
54,Charity,Hope Community Trust (Liverpool),143 Sample Street,Liverpool,S5 2HD,53.405924,-2.9684937,https://www.example-charity.org,contact.54@example-charity.org,03444 950544,,,,60.6,,0,,,,Reuse,synthetic_sample_data
55,Charity,Compass Outreach (Nottingham),161 Sample Street,Nottingham,S1 2YG,52.9189134,-1.0355487,https://www.example-charity.org,contact.55@example-charity.org,08025 420214,,,,,,0,,,,Reuse,synthetic_sample_data
56,Charity,New Leaf Furniture Project (Birmingham),74 Sample Street,Birmingham,W8 5BH,52.4081596,-1.8748023,https://www.example-charity.org,contact.56@example-charity.org,07693 572387,,,,70.3,,1,,,,Reuse,synthetic_sample_data
57,Charity,Steppingstone Charity Shop (Manchester),69 Sample Street,Manchester,D9 4UE,53.5370155,-2.1154267,https://www.example-charity.org,contact.57@example-charity.org,04241 545790,,,,7.1,,0,,,,Reuse,synthetic_sample_data
58,Charity,Compass Support Network (Bristol),139 Sample Street,Bristol,W5 7IQ,51.4830132,-2.4906279,https://www.example-charity.org,contact.58@example-charity.org,03037 591465,,,,,,0,,,,Reuse,synthetic_sample_data
59,Charity,Lighthouse Foundation (Southampton),69 Sample Street,Southampton,C4 1YV,50.7716582,-1.4247914,https://www.example-charity.org,contact.59@example-charity.org,05102 127121,,,,,,0,,,,Reuse,synthetic_sample_data
60,Charity,Compass Community Trust (Newcastle),86 Sample Street,Newcastle,P2 8LN,54.9839892,-1.6351312,https://www.example-charity.org,contact.60@example-charity.org,08141 765620,,,,,,0,,,,Reuse,synthetic_sample_data
61,Charity,Compass Charity Shop (Birmingham),81 Sample Street,Birmingham,Y9 1OC,52.4351411,-1.8322979,https://www.example-charity.org,contact.61@example-charity.org,07561 953085,,,,,,0,,,,Reuse,synthetic_sample_data
62,Charity,Hope Charity Shop (Liverpool),160 Sample Street,Liverpool,N1 4QL,53.5178732,-2.8941218,https://www.example-charity.org,contact.62@example-charity.org,09889 584417,,,,62.5,,0,,,,Reuse,synthetic_sample_data
63,Charity,Compass Support Network (Leeds),4 Sample Street,Leeds,A4 3JR,53.7309169,-1.659796,https://www.example-charity.org,contact.63@example-charity.org,08941 227324,,,,,,0,,,,Reuse,synthetic_sample_data
64,Charity,Forward Furniture Project (Leeds),107 Sample Street,Leeds,W5 9WI,53.9484771,-1.425221,https://www.example-charity.org,contact.64@example-charity.org,03522 622584,,,,98.0,,0,,,,Reuse,synthetic_sample_data
65,Charity,Steppingstone Foundation (Newcastle),69 Sample Street,Newcastle,I7 6ZQ,54.9936795,-1.6527242,https://www.example-charity.org,contact.65@example-charity.org,03236 173201,,,,28.3,,1,,,,Reuse,synthetic_sample_data
66,Charity,New Leaf Support Network (Southampton),97 Sample Street,Southampton,L6 9YR,50.933677,-1.3564178,https://www.example-charity.org,contact.66@example-charity.org,09824 607868,,,,,,1,,,,Reuse,synthetic_sample_data
67,Charity,Haven Community Trust (Leeds),167 Sample Street,Leeds,K8 7MV,53.9450324,-1.6274583,https://www.example-charity.org,contact.67@example-charity.org,07730 145767,,,,49.5,,0,,,,Reuse,synthetic_sample_data
68,Charity,Second Chance Outreach (Birmingham),105 Sample Street,Birmingham,Q8 1XE,52.4868873,-1.8633459,https://www.example-charity.org,contact.68@example-charity.org,08213 204555,,,,97.0,,0,,,,Reuse,synthetic_sample_data
69,Charity,Steppingstone Charity Shop (Newcastle),161 Sample Street,Newcastle,C6 9MK,55.0627576,-1.6882932,https://www.example-charity.org,contact.69@example-charity.org,07512 781403,,,,75.9,,0,,,,Reuse,synthetic_sample_data
70,Charity,Compass Community Trust (Southampton),77 Sample Street,Southampton,D2 8FW,50.7802262,-1.3650517,https://www.example-charity.org,contact.70@example-charity.org,02480 555052,,,,4.6,,0,,,,Reuse,synthetic_sample_data
71,Charity,Bridge Foundation (Bristol),157 Sample Street,Bristol,V3 3FC,51.412039,-2.608694,https://www.example-charity.org,contact.71@example-charity.org,07751 693418,,,,62.0,,0,,,,Reuse,synthetic_sample_data
72,Charity,Forward Charity Shop (Newcastle),140 Sample Street,Newcastle,I1 8JV,55.1021487,-1.7248647,https://www.example-charity.org,contact.72@example-charity.org,05161 581894,,,,,,1,,,,Reuse,synthetic_sample_data
73,Charity,Haven Charity Shop (Sheffield),61 Sample Street,Sheffield,J4 7PD,53.5273955,-1.5303537,https://www.example-charity.org,contact.73@example-charity.org,05097 579027,,,,,,1,,,,Reuse,synthetic_sample_data
74,Charity,Hope Outreach (Southampton),59 Sample Street,Southampton,A1 8JY,50.8484617,-1.3446163,https://www.example-charity.org,contact.74@example-charity.org,07484 387813,,,,35.2,,0,,,,Reuse,synthetic_sample_data
75,Charity,New Leaf Charity Shop (Southampton),9 Sample Street,Southampton,U1 5ZO,50.834888,-1.3277268,https://www.example-charity.org,contact.75@example-charity.org,02591 757937,,,,,,0,,,,Reuse,synthetic_sample_data
76,Charity,Haven Community Trust (Manchester),70 Sample Street,Manchester,Z9 6QQ,53.6036883,-2.2945843,https://www.example-charity.org,contact.76@example-charity.org,04289 238579,,,,25.7,,1,,,,Reuse,synthetic_sample_data
77,Charity,Second Chance Support Network (Bristol),94 Sample Street,Bristol,Y4 7ZR,51.5284678,-2.6362854,https://www.example-charity.org,contact.77@example-charity.org,02233 247594,,,,,,1,,,,Reuse,synthetic_sample_data
78,Charity,Lighthouse Charity Shop (London),121 Sample Street,London,M6 2VH,51.4367376,-0.2407234,https://www.example-charity.org,contact.78@example-charity.org,05295 712955,,,,,,1,,,,Reuse,synthetic_sample_data
79,Charity,Forward Charity Shop (Southampton),78 Sample Street,Southampton,N2 3BB,50.8261102,-1.5354349,https://www.example-charity.org,contact.79@example-charity.org,05951 780776,,,,11.6,,0,,,,Reuse,synthetic_sample_data
80,Charity,Together Support Network (Nottingham),72 Sample Street,Nottingham,U2 8TN,52.8454992,-1.1720069,https://www.example-charity.org,contact.80@example-charity.org,03531 535037,,,,,,1,,,,Reuse,synthetic_sample_data
81,Charity,Lighthouse Furniture Project (Leeds),49 Sample Street,Leeds,U6 1MI,53.7838149,-1.4139334,https://www.example-charity.org,contact.81@example-charity.org,07018 670913,,,,94.9,,1,,,,Reuse,synthetic_sample_data
82,Charity,Steppingstone Furniture Project (Manchester),53 Sample Street,Manchester,K4 3ZS,53.5296306,-2.2000887,https://www.example-charity.org,contact.82@example-charity.org,01828 925013,,,,,,0,,,,Reuse,synthetic_sample_data
83,Charity,Lighthouse Outreach (Southampton),139 Sample Street,Southampton,T1 5EE,50.8244854,-1.2934914,https://www.example-charity.org,contact.83@example-charity.org,03417 926952,,,,,,0,,,,Reuse,synthetic_sample_data
84,Charity,Hope Reuse Store (Manchester),33 Sample Street,Manchester,K1 3IB,53.5291173,-2.384866,https://www.example-charity.org,contact.84@example-charity.org,04898 717457,,,,52.6,,0,,,,Reuse,synthetic_sample_data
85,Charity,Steppingstone Furniture Project (Newcastle),165 Sample Street,Newcastle,H1 9JO,54.9627826,-1.6591883,https://www.example-charity.org,contact.85@example-charity.org,08405 628313,,,,6.1,,1,,,,Reuse,synthetic_sample_data
86,Charity,Forward Furniture Project (Liverpool),160 Sample Street,Liverpool,T3 2EI,53.3862821,-3.1092115,https://www.example-charity.org,contact.86@example-charity.org,02323 437758,,,,54.8,,1,,,,Reuse,synthetic_sample_data
87,Charity,Forward Foundation (Liverpool),111 Sample Street,Liverpool,Z2 9XG,53.5567883,-2.9824329,https://www.example-charity.org,contact.87@example-charity.org,08048 203996,,,,,,0,,,,Reuse,synthetic_sample_data
88,Charity,Haven Charity Shop (Liverpool),176 Sample Street,Liverpool,N6 5LE,53.3600795,-3.0055503,https://www.example-charity.org,contact.88@example-charity.org,02557 427730,,,,6.7,,0,,,,Reuse,synthetic_sample_data
89,Charity,Lighthouse Outreach (Manchester),32 Sample Street,Manchester,B9 9KV,53.460363,-2.1692233,https://www.example-charity.org,contact.89@example-charity.org,03131 683397,,,,,,1,,,,Reuse,synthetic_sample_data
90,Charity,Compass Reuse Store (Coventry),58 Sample Street,Coventry,Q4 3VP,52.2722338,-1.5834112,https://www.example-charity.org,contact.90@example-charity.org,02697 705991,,,,35.0,,1,,,,Reuse,synthetic_sample_data
91,Charity,Haven Outreach (Manchester),180 Sample Street,Manchester,V5 1FI,53.5595817,-2.22037,https://www.example-charity.org,contact.91@example-charity.org,01430 738577,,,,92.2,,1,,,,Reuse,synthetic_sample_data
92,Charity,Haven Furniture Project (London),56 Sample Street,London,U1 2XQ,51.4118217,-0.2348246,https://www.example-charity.org,contact.92@example-charity.org,03324 876962,,,,,,1,,,,Reuse,synthetic_sample_data
93,Charity,Lighthouse Outreach (Sheffield),70 Sample Street,Sheffield,E3 1VC,53.2783228,-1.5266088,https://www.example-charity.org,contact.93@example-charity.org,02391 155164,,,,,,1,,,,Reuse,synthetic_sample_data
94,Charity,Bridge Outreach (Newcastle),174 Sample Street,Newcastle,L7 2JV,55.0104228,-1.6435449,https://www.example-charity.org,contact.94@example-charity.org,09394 219346,,,,,,1,,,,Reuse,synthetic_sample_data
95,Charity,Hope Furniture Project (London),31 Sample Street,London,G3 5JK,51.4235555,0.0175337,https://www.example-charity.org,contact.95@example-charity.org,04349 416061,,,,,,1,,,,Reuse,synthetic_sample_data
96,Charity,Bridge Foundation (Birmingham),20 Sample Street,Birmingham,M1 7AO,52.3749557,-1.8806253,https://www.example-charity.org,contact.96@example-charity.org,06802 175576,,,,57.6,,1,,,,Reuse,synthetic_sample_data
97,Charity,Haven Furniture Project (Coventry),28 Sample Street,Coventry,Z8 6CN,52.4488425,-1.5828454,https://www.example-charity.org,contact.97@example-charity.org,06321 280222,,,,,,1,,,,Reuse,synthetic_sample_data
98,Charity,Lighthouse Community Trust (Nottingham),136 Sample Street,Nottingham,F2 9UD,52.8283941,-1.0469427,https://www.example-charity.org,contact.98@example-charity.org,06456 916964,,,,,,1,,,,Reuse,synthetic_sample_data
99,Charity,New Leaf Community Trust (Sheffield),195 Sample Street,Sheffield,I4 3TE,53.4493137,-1.3744154,https://www.example-charity.org,contact.99@example-charity.org,02684 253557,,,,7.5,,1,,,,Reuse,synthetic_sample_data
100,Charity,Forward Charity Shop (Newcastle),114 Sample Street,Newcastle,K3 8CP,55.0546337,-1.5398369,https://www.example-charity.org,contact.100@example-charity.org,06295 757685,,,,79.6,,0,,,,Reuse,synthetic_sample_data
101,Charity,Forward Furniture Project (Sheffield),130 Sample Street,Sheffield,J2 2TT,53.3833011,-1.5269776,https://www.example-charity.org,contact.101@example-charity.org,01932 486649,,,,,,0,,,,Reuse,synthetic_sample_data
102,Charity,Bridge Reuse Store (Newcastle),88 Sample Street,Newcastle,E1 8DZ,55.101015,-1.596303,https://www.example-charity.org,contact.102@example-charity.org,08792 625721,,,,8.4,,0,,,,Reuse,synthetic_sample_data
103,Charity,Forward Foundation (London),105 Sample Street,London,F6 6JM,51.4317231,-0.1464725,https://www.example-charity.org,contact.103@example-charity.org,09564 739427,,,,67.9,,0,,,,Reuse,synthetic_sample_data
104,Charity,Second Chance Foundation (Reading),170 Sample Street,Reading,I3 6CS,51.4984916,-1.1083264,https://www.example-charity.org,contact.104@example-charity.org,07333 397949,,,,,,1,,,,Reuse,synthetic_sample_data
105,Charity,Haven Community Trust (Bristol),180 Sample Street,Bristol,R7 6EV,51.594809,-2.528356,https://www.example-charity.org,contact.105@example-charity.org,02388 424620,,,,73.9,,0,,,,Reuse,synthetic_sample_data
106,Charity,Hope Reuse Store (Reading),36 Sample Street,Reading,G6 8GH,51.5054368,-0.9755535,https://www.example-charity.org,contact.106@example-charity.org,06060 289019,,,,,,1,,,,Reuse,synthetic_sample_data
107,Charity,Together Furniture Project (Manchester),47 Sample Street,Manchester,T3 7EF,53.4831069,-2.2306688,https://www.example-charity.org,contact.107@example-charity.org,06517 903531,,,,77.1,,0,,,,Reuse,synthetic_sample_data
108,Charity,Bridge Support Network (Coventry),80 Sample Street,Coventry,X8 4RH,52.388102,-1.5464424,https://www.example-charity.org,contact.108@example-charity.org,05668 888939,,,,78.4,,0,,,,Reuse,synthetic_sample_data
109,Charity,Forward Support Network (Sheffield),52 Sample Street,Sheffield,M9 9NF,53.434592,-1.4489742,https://www.example-charity.org,contact.109@example-charity.org,05616 915922,,,,13.8,,1,,,,Reuse,synthetic_sample_data
110,Charity,Together Furniture Project (London),70 Sample Street,London,D5 2YF,51.5497537,-0.0155649,https://www.example-charity.org,contact.110@example-charity.org,09452 992512,,,,,,0,,,,Reuse,synthetic_sample_data
111,Charity,Forward Reuse Store (Liverpool),99 Sample Street,Liverpool,B7 9LH,53.2859141,-2.8684485,https://www.example-charity.org,contact.111@example-charity.org,01436 535050,,,,37.5,,0,,,,Reuse,synthetic_sample_data
112,Charity,Lighthouse Outreach (Sheffield),195 Sample Street,Sheffield,B5 8WE,53.5103478,-1.3683471,https://www.example-charity.org,contact.112@example-charity.org,03392 244283,,,,44.9,,0,,,,Reuse,synthetic_sample_data
113,Charity,New Leaf Foundation (Manchester),13 Sample Street,Manchester,D5 4JD,53.3365012,-2.3279036,https://www.example-charity.org,contact.113@example-charity.org,09647 543814,,,,,,1,,,,Reuse,synthetic_sample_data
114,Charity,Steppingstone Foundation (Manchester),1 Sample Street,Manchester,Q4 3JN,53.3640574,-2.1210559,https://www.example-charity.org,contact.114@example-charity.org,01269 762652,,,,24.1,,1,,,,Reuse,synthetic_sample_data
115,Charity,Lighthouse Furniture Project (Birmingham),121 Sample Street,Birmingham,Q9 9AM,52.5355114,-2.0147158,https://www.example-charity.org,contact.115@example-charity.org,09618 670511,,,,,,1,,,,Reuse,synthetic_sample_data
116,Charity,Second Chance Reuse Store (Sheffield),91 Sample Street,Sheffield,V2 6EB,53.3071951,-1.6152273,https://www.example-charity.org,contact.116@example-charity.org,04950 868544,,,,,,0,,,,Reuse,synthetic_sample_data
117,Charity,New Leaf Outreach (Reading),12 Sample Street,Reading,W8 1JG,51.4436869,-0.9194832,https://www.example-charity.org,contact.117@example-charity.org,03209 166165,,,,88.6,,1,,,,Reuse,synthetic_sample_data
118,Charity,Together Support Network (Bristol),13 Sample Street,Bristol,Y4 5LY,51.4591151,-2.4411632,https://www.example-charity.org,contact.118@example-charity.org,05150 138399,,,,33.2,,0,,,,Reuse,synthetic_sample_data
119,Charity,Forward Support Network (Sheffield),69 Sample Street,Sheffield,P8 6ZQ,53.3621854,-1.5000935,https://www.example-charity.org,contact.119@example-charity.org,06554 295892,,,,72.7,,0,,,,Reuse,synthetic_sample_data
120,Charity,Together Reuse Store (Liverpool),155 Sample Street,Liverpool,C6 5JO,53.439136,-2.8948976,https://www.example-charity.org,contact.120@example-charity.org,06262 207581,,,,16.7,,1,,,,Reuse,synthetic_sample_data
121,Charity,Lighthouse Foundation (Sheffield),104 Sample Street,Sheffield,U1 2VU,53.3652389,-1.4020557,https://www.example-charity.org,contact.121@example-charity.org,08126 387892,,,,,,0,,,,Reuse,synthetic_sample_data
122,Charity,Forward Furniture Project (London),9 Sample Street,London,H6 6MS,51.4002338,-0.0955281,https://www.example-charity.org,contact.122@example-charity.org,03068 170499,,,,67.9,,1,,,,Reuse,synthetic_sample_data
123,Charity,New Leaf Foundation (Sheffield),189 Sample Street,Sheffield,K5 4DA,53.3642818,-1.5970344,https://www.example-charity.org,contact.123@example-charity.org,07012 517368,,,,,,1,,,,Reuse,synthetic_sample_data
124,Charity,Forward Community Trust (Nottingham),116 Sample Street,Nottingham,P4 2EC,52.8401283,-1.0756107,https://www.example-charity.org,contact.124@example-charity.org,05678 827691,,,,,,1,,,,Reuse,synthetic_sample_data
