material,stage,value,unit,gwp_basis,source,source_year,source_url,geography,data_quality,notes
Ferrous metals,virgin_production_avoided,2450.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - steel (primary, BF-BOF route, world average),2019,https://circularecology.com/embodied-carbon-footprint-database.html,global,secondary-published,Credit for displacing primary blast-furnace steel.
Non-ferrous metals,landfill_disposal,8.9,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Metal to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Inert in landfill.
Non-ferrous metals,reprocessing,1150.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Environmental benefits of recycling (aluminium remelt),2010,https://wrap.org.uk/resources/report/environmental-benefits-recycling-2010-update,UK/EU,secondary-published,Secondary aluminium remelt energy.
Non-ferrous metals,virgin_production_avoided,13100.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - aluminium (primary, world average),2019,https://circularecology.com/embodied-carbon-footprint-database.html,global,secondary-published,Credit for displacing primary (electrolytic) aluminium.
Glass,landfill_disposal,8.9,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Glass to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Inert in landfill.
Glass,reprocessing,180.0,kg CO2e per tonne,IPCC AR5 GWP100,FEVE - Recycling: why glass always has a happy CO2 ending (cullet processing),2016,https://feve.org/wp-content/uploads/2016/04/FEVE-brochure-Recycling-Why-glass-always-has-a-happy-CO2-ending-.pdf,EU,secondary-published,Cullet washing and processing energy.
Glass,virgin_production_avoided,850.0,kg CO2e per tonne,cradle-to-gate,FEVE / ICE database v3.0 - container glass (virgin batch, silica + soda ash + limestone),2016,https://feve.org/wp-content/uploads/2016/04/FEVE-brochure-Recycling-Why-glass-always-has-a-happy-CO2-ending-.pdf,EU,secondary-published,Credit for avoided virgin batch melting; every tonne of cullet displaces ~1.2 t virgin raw materials.
Plastic (dense),landfill_disposal,8.9,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Average plastics to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Plastics are effectively inert in landfill (no biogenic methane).
Plastic (dense),reprocessing,450.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Environmental benefits of recycling (rigid plastics reprocessing),2010,https://wrap.org.uk/resources/report/environmental-benefits-recycling-2010-update,UK/EU,secondary-published,Wash, shred and pelletise energy for rigid plastics.
Plastic (dense),virgin_production_avoided,3100.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - plastics (general, virgin polymer),2019,https://circularecology.com/embodied-carbon-footprint-database.html,global,secondary-published,Credit for displacing virgin polymer resin.
Plastic (film),landfill_disposal,8.9,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Average plastics to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,As dense plastics; inert in landfill.
Plastic (film),reprocessing,520.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Environmental benefits of recycling (film reprocessing),2010,https://wrap.org.uk/resources/report/environmental-benefits-recycling-2010-update,UK/EU,secondary-published,Film reprocessing is more energy-intensive per tonne than rigids.
Plastic (film),virgin_production_avoided,2540.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - LDPE film (virgin),2019,https://circularecology.com/embodied-carbon-footprint-database.html,global,secondary-published,Credit for displacing virgin LDPE.
Correx,landfill_disposal,8.9,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Average plastics to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-proxy,Correx (fluted polypropylene) treated as film plastic.
Correx,reprocessing,520.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Environmental benefits of recycling (film reprocessing proxy),2010,https://wrap.org.uk/resources/report/environmental-benefits-recycling-2010-update,UK/EU,secondary-proxy,Proxy: polypropylene sheet reprocessing.
Correx,virgin_production_avoided,2540.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - polypropylene sheet (virgin, proxy via LDPE film),2019,https://circularecology.com/embodied-carbon-footprint-database.html,global,secondary-proxy,Proxy value; refine with a polypropylene-specific figure.
Gravel,landfill_disposal,1.23,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Aggregates to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Inert aggregate; landfill factor is near zero.
Gravel,reprocessing,2.74,kg CO2e per tonne,cradle-to-gate,Project reuse_offset dataset (retained) / MPA aggregates data,2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-legacy,Screening and grading of recovered aggregate.
Gravel,virgin_production_avoided,4.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - gravel / crushed aggregate (virgin),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-published,Credit for displacing quarried primary aggregate.
Sand,landfill_disposal,1.23,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Aggregates to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Inert.
Sand,reprocessing,3.0,kg CO2e per tonne,cradle-to-gate,WRAP / MPA aggregate recycling data (screening energy),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-estimate,Screening of recovered sand.
Sand,virgin_production_avoided,5.5,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - sand (virgin),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-published,Credit for displacing quarried sand.
Compost,landfill_disposal,16.2,kg CO2e per tonne,IPCC AR5 GWP100,Project reuse_offset dataset (retained) / DEFRA organics,2019,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-legacy,Organic material; if landfilled would generate methane, so treated conservatively here.
Compost,reprocessing,16.2,kg CO2e per tonne,IPCC AR5 GWP100,Project reuse_offset dataset (retained),2019,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-legacy,Windrow composting process emissions.
Compost,virgin_production_avoided,20.0,kg CO2e per tonne,cradle-to-gate,WRAP - Compost and peat displacement,2016,https://wrap.org.uk/resources/report/compost-market-development,UK,secondary-estimate,Credit for displacing peat / synthetic soil improver.
Carpet Tiles,landfill_disposal,20.0,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (proxy: composite plastic + textile),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-proxy,Bitumen/PVC-backed nylon tile; largely inert in landfill.
Carpet Tiles,reuse_processing,5.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - carpet reuse and recycling (uplift, clean, redistribute),2016,https://wrap.org.uk/resources/report/carpet-recycling,UK,secondary-estimate,Uplift, inspection and cleaning for reuse.
Carpet Tiles,virgin_production_avoided,229.39,kg CO2e per tonne,cradle-to-gate,Envirocycle London - recycled carpet tile CO2 analysis (converted from per-tile to per-tonne in the legacy dataset),2021,https://envirocyclelondon.com/blog/environmental-benefits-buying-recycled-carpet-tiles/,UK,secondary-legacy,Retained from the project reuse_offset dataset; conversion from ~13.33 kg CO2e per standard tile.
Pallets,landfill_disposal,828.0,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Wood to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Timber decomposes anaerobically in landfill releasing methane.
Pallets,reuse_processing,8.2,kg CO2e per tonne,cradle-to-gate,Project reuse_offset dataset (retained) / pallet repair pool data,2019,https://timberpackagingpallet.co.uk/,UK,secondary-legacy,Inspection and repair energy for pallet pooling.
Pallets,virgin_production_avoided,450.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - sawn softwood timber (virgin, excl. sequestration),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK/EU,secondary-published,Credit for avoided sawmill production of new pallet timber.
Task Chair,landfill_disposal,15.0,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (proxy: mixed furniture, plastic + metal),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-proxy,Mixed plastic/metal/foam; largely inert in landfill.
Task Chair,reuse_processing,10.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Office furniture reuse (clean, minor repair, redistribute),2018,https://wrap.org.uk/resources/guide/electricals-and-furniture,UK,secondary-estimate,Clean and light-refurbish energy for office chair reuse.
Task Chair,virgin_production_avoided,72.0,kg CO2e per tonne,cradle-to-gate,Project reuse_offset dataset (retained) / office furniture EPD range,2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK/EU,secondary-legacy,Retained legacy value; refine against a task-chair EPD (typ. 40-90 kg CO2e per chair).
Plasterboard,landfill_disposal,1.4,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Plasterboard / gypsum to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Gypsum is inert for GHG purposes (H2S is a nuisance gas, not a GHG); must be cell-separated in practice.
Plasterboard,reprocessing,25.0,kg CO2e per tonne,cradle-to-gate,WRAP - Plasterboard recycling (recovered gypsum reprocessing),2013,https://wrap.org.uk/resources/report/plasterboard-recycling,UK,secondary-published,Crush, screen and de-paper recovered gypsum.
Plasterboard,virgin_production_avoided,120.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - plasterboard (virgin gypsum board),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-published,Credit for avoided calcination and board manufacture.
Timber,landfill_disposal,828.0,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Wood to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Anaerobic decomposition releases landfill methane.
Timber,reuse_processing,6.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Reclaimed timber (de-nail, grade, cut),2016,https://wrap.org.uk/resources/report/wood-waste-market-situation-report,UK,secondary-estimate,De-nail, grade and dimension reclaimed timber.
Timber,virgin_production_avoided,450.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - sawn softwood (virgin, excl. sequestration),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK/EU,secondary-published,Credit for avoided sawmill production.
Aggregate,landfill_disposal,1.23,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Aggregates to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Inert.
Aggregate,reprocessing,2.74,kg CO2e per tonne,cradle-to-gate,MPA / WRAP recycled aggregate data (crush and screen),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-published,Crushing and screening of construction and demolition rubble.
Aggregate,virgin_production_avoided,4.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - crushed aggregate (virgin),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK,secondary-published,Credit for displacing quarried primary aggregate.
